Ct OIII SII NII OII Ha Hb
86 1.1391E+34 3.5538E+32 1.1540E+32 1.4427E+33 6.9810E+33 2.5313E+33
87 1.3837E+34 5.9929E+32 2.1124E+32 2.5231E+33 9.5280E+33 3.4507E+33
88 1.5294E+34 8.3215E+32 3.0674E+32 3.5577E+33 1.1526E+34 4.1708E+33
89 1.6488E+34 1.1412E+33 4.3377E+32 4.8887E+33 1.3763E+34 4.9758E+33
90 1.7345E+34 1.5579E+33 5.9762E+32 6.5432E+33 1.6273E+34 5.8757E+33
91 1.6316E+35 4.6355E+33 2.4653E+34 9.4131E+33 2.1926E+35 7.7674E+34
92 1.7795E+34 2.0698E+33 7.7762E+32 8.2715E+33 1.8807E+34 6.7794E+33
93 1.7974E+34 2.7657E+33 9.7535E+32 9.9967E+33 2.1548E+34 7.7479E+33
94 2.0870E+35 8.3356E+33 4.6946E+34 1.7020E+34 2.9466E+35 1.0437E+35
95 2.4034E+35 1.2209E+34 7.1572E+34 2.5126E+34 3.5342E+35 1.2520E+35
96 2.7894E+35 1.9923E+34 1.2251E+35 4.1447E+34 4.3839E+35 1.5536E+35
97 3.0551E+35 3.0722E+34 1.9392E+35 6.3988E+34 5.1958E+35 1.8421E+35
98 3.1888E+35 4.5190E+34 2.8337E+35 9.2455E+34 5.9367E+35 2.1057E+35
99 8.8450E+35 1.1445E+35 3.8480E+34 3.8247E+35 6.9790E+35 2.5016E+35
100 1.3737E+35 6.3306E+32 1.5206E+32 2.4548E+33 6.7787E+34 2.4604E+34
101 2.4744E+35 2.0634E+33 5.1087E+32 7.6046E+33 1.3052E+35 4.7057E+34
102 3.6154E+35 4.5213E+33 1.1907E+33 1.6646E+34 2.0114E+35 7.2354E+34
103 4.6456E+35 7.7775E+33 2.1896E+33 2.9261E+34 2.6786E+35 9.6275E+34
104 5.7253E+35 1.2614E+34 3.8430E+33 4.9351E+34 3.3996E+35 1.2216E+35
105 6.7609E+35 1.9394E+34 6.4440E+33 7.9927E+34 4.1213E+35 1.4810E+35
106 7.6535E+35 2.8591E+34 1.0373E+34 1.2447E+35 4.8087E+35 1.7284E+35
107 8.3592E+35 4.2208E+34 1.6632E+34 1.9183E+35 5.4998E+35 1.9773E+35
108 8.7699E+35 6.5619E+34 2.6836E+34 2.9238E+35 6.2441E+35 2.2447E+35
109 3.2266E+35 6.6364E+34 3.9539E+35 1.2923E+35 6.6765E+35 2.3688E+35
110 6.0777E+33 1.7823E+35 1.9485E+35 3.6472E+35 8.4171E+35 2.9557E+35
111 5.7862E+33 1.2680E+33 6.4015E+33 1.7863E+34 7.7940E+34 2.9100E+34
112 6.0777E+33 6.9526E+33 2.3492E+34 4.9212E+34 1.6444E+35 5.8974E+34
113 6.0777E+33 1.4280E+34 3.8429E+34 7.5085E+34 2.3304E+35 8.2938E+34
114 6.0777E+33 2.4515E+34 5.5010E+34 1.0342E+35 3.0676E+35 1.0885E+35
115 6.0777E+33 3.9737E+34 7.5519E+34 1.3836E+35 3.9556E+35 1.4018E+35
116 6.0777E+33 5.7501E+34 9.6130E+34 1.7396E+35 4.8150E+35 1.7057E+35
117 1.0480E+36 7.6311E+34 2.1215E+34 2.2081E+35 7.7367E+35 2.7639E+35
118 6.0777E+33 7.6988E+34 1.1625E+35 2.0971E+35 5.6123E+35 1.9881E+35
119 1.5059E+35 4.5497E+32 7.6995E+31 1.3550E+33 7.3557E+34 2.6924E+34
120 6.0777E+33 1.0421E+35 1.4139E+35 2.5668E+35 6.5342E+35 2.3147E+35
121 2.9378E+35 1.7414E+33 3.1030E+32 4.8017E+33 1.4682E+35 5.3365E+34
122 6.0777E+33 1.3901E+35 1.6961E+35 3.1399E+35 7.4521E+35 2.6394E+35
123 4.3925E+35 3.9490E+33 7.5948E+32 1.0944E+34 2.2629E+35 8.2091E+34
124 5.5391E+35 6.4272E+33 1.3234E+33 1.8344E+34 2.9159E+35 1.0570E+35
125 6.7212E+35 9.8424E+33 2.1923E+33 2.9464E+34 3.6110E+35 1.3084E+35
126 7.3298E+34 3.6396E+33 3.5610E+34 1.4590E+34 7.9919E+35 2.8404E+35
127 1.5412E+34 3.9780E+31 2.7219E+32 2.0486E+32 7.4884E+34 2.7405E+34
128 2.6613E+34 1.2227E+32 8.6932E+32 6.1082E+32 1.4322E+35 5.2061E+34
129 3.7494E+34 2.5410E+32 1.9261E+33 1.2827E+33 2.2016E+35 7.9790E+34
130 8.1569E+35 1.5766E+34 3.9307E+33 5.1160E+34 4.5086E+35 1.6325E+35
131 4.8866E+34 4.6720E+32 3.8607E+33 2.4293E+33 3.1383E+35 1.1348E+35
132 5.5030E+34 6.3252E+32 5.5371E+33 3.3620E+33 3.7268E+35 1.3459E+35
133 2.4426E+35 2.4355E+34 1.6507E+34 1.3680E+35 7.9960E+35 2.8729E+35
134 5.7029E+34 2.5822E+32 1.4452E+32 2.5922E+33 7.3772E+34 2.7459E+34
135 6.2249E+34 9.0820E+32 8.6487E+33 4.9776E+33 4.5433E+35 1.6378E+35
136 1.0639E+35 9.1936E+32 5.5643E+32 9.1000E+33 1.5010E+35 5.5026E+34
137 1.4255E+35 1.7783E+33 1.1514E+33 1.7463E+34 2.1881E+35 7.9876E+34
138 1.7952E+35 3.2369E+33 2.2596E+33 3.1220E+34 3.0672E+35 1.1167E+35
139 6.8574E+34 1.3242E+33 1.3973E+34 7.4645E+33 5.5139E+35 1.9830E+35
140 2.0407E+35 4.8659E+33 3.5916E+33 4.5743E+34 3.8299E+35 1.3923E+35
141 2.2147E+35 6.7980E+33 5.2432E+33 6.1661E+34 4.5586E+35 1.6552E+35
142 2.3587E+35 9.9903E+33 7.9969E+33 8.4605E+34 5.5029E+35 1.9950E+35
143 2.4160E+35 1.3177E+34 1.0583E+34 1.0327E+35 6.2376E+35 2.2582E+35
144 2.4405E+35 1.8312E+34 1.4023E+34 1.2483E+35 7.1514E+35 2.5834E+35
145 7.1629E+34 1.7485E+33 1.9788E+34 9.8606E+33 6.2810E+35 2.2537E+35
146 9.1045E+35 2.1704E+34 5.9395E+33 7.5508E+34 5.1807E+35 1.8746E+35
147 7.3076E+34 2.3651E+33 2.7516E+34 1.2608E+34 7.1112E+35 2.5438E+35
148 1.7078E+35 1.4249E+34 1.6767E+35 7.4574E+34 7.9654E+35 2.8623E+35
149 3.5223E+34 1.4034E+32 1.3021E+33 1.1662E+33 7.2108E+34 2.6876E+34
150 1.0012E+36 3.2031E+34 9.8681E+33 1.2081E+35 6.0401E+35 2.1823E+35
151 6.6001E+34 4.8579E+32 4.8176E+33 4.0044E+33 1.4331E+35 5.2629E+34
152 9.6448E+34 1.1002E+33 1.1838E+34 9.1008E+33 2.2805E+35 8.3302E+34
153 1.2137E+35 1.9353E+33 2.2438E+34 1.5985E+34 3.1325E+35 1.1413E+35
154 1.3725E+35 2.7602E+33 3.3758E+34 2.2626E+34 3.8020E+35 1.3833E+35
155 1.5146E+35 3.9208E+33 5.0658E+34 3.1546E+34 4.5698E+35 1.6604E+35
156 1.6324E+35 5.7604E+33 7.8432E+34 4.4341E+34 5.5210E+35 2.0028E+35
157 1.6802E+35 7.4687E+33 1.0347E+35 5.4425E+34 6.2120E+35 2.2504E+35
158 1.7047E+35 1.0282E+34 1.3869E+35 6.6815E+34 7.0882E+35 2.5623E+35
159 1.0416E+36 4.6068E+34 1.5123E+34 1.7596E+35 6.8418E+35 2.4656E+35
160 1.8338E+34 5.7013E+33 1.6334E+33 1.4795E+34 2.3923E+34 8.5721E+33
161 4.7700E+33 6.9912E+31 1.8270E+31 2.4168E+32 2.2949E+33 8.3566E+32
162 8.5621E+33 2.3428E+32 7.1055E+31 8.5903E+32 4.6807E+33 1.6953E+33
163 1.1370E+34 4.5261E+32 1.5091E+32 1.7264E+33 6.9070E+33 2.4979E+33
164 1.3592E+34 7.3050E+32 2.6035E+32 2.8608E+33 9.1057E+33 3.2906E+33
165 1.5620E+34 1.1558E+33 4.3397E+32 4.5946E+33 1.1751E+34 4.2441E+33
166 1.6849E+34 1.6165E+33 6.2028E+32 6.4000E+33 1.4035E+34 5.0669E+33
167 1.7685E+34 2.2167E+33 8.4965E+32 8.5659E+33 1.6448E+34 5.9346E+33
168 1.8086E+34 2.8410E+33 1.0647E+33 1.0535E+34 1.8505E+34 6.6722E+33
169 1.8307E+34 3.9133E+33 1.3693E+33 1.3144E+34 2.1309E+34 7.6702E+33
170 3.3712E+35 1.1324E+35 1.2530E+35 3.6448E+35 7.6236E+35 2.7180E+35
171 7.4513E+34 6.7346E+32 7.1215E+32 3.9380E+33 7.1888E+34 2.5972E+34
172 1.4306E+35 2.4936E+33 2.8565E+33 1.4262E+34 1.4043E+35 5.0282E+34
173 2.1056E+35 6.0718E+33 7.5452E+33 3.3971E+34 2.2253E+35 7.9571E+34
174 2.6247E+35 1.1290E+34 1.4908E+34 6.1341E+34 3.0298E+35 1.0835E+35
175 2.9326E+35 1.6839E+34 2.3008E+34 8.8661E+34 3.6541E+35 1.3072E+35
176 3.2240E+35 2.7735E+34 3.8850E+34 1.3727E+35 4.5326E+35 1.6223E+35
177 3.3434E+35 4.0936E+34 5.6904E+34 1.8829E+35 5.2736E+35 1.8883E+35
178 1.5093E+34 7.3561E+33 2.1226E+33 1.8055E+34 2.3643E+34 8.4707E+33
179 3.3707E+35 5.9061E+34 7.8966E+34 2.4752E+35 6.0223E+35 2.1571E+35
180 4.1592E+33 8.0244E+31 2.1342E+31 3.0935E+32 2.3272E+33 8.4366E+32
181 3.3712E+35 8.0230E+34 1.0101E+35 3.0570E+35 6.7333E+35 2.4117E+35
182 6.8771E+33 2.3320E+32 7.0524E+31 9.1720E+32 4.3305E+33 1.5615E+33
183 9.2011E+33 4.6962E+32 1.5649E+32 1.8665E+33 6.4912E+33 2.3367E+33
184 1.1536E+34 9.0096E+32 3.2715E+32 3.5763E+33 9.3444E+33 3.3612E+33
185 1.2652E+34 1.2545E+33 4.7177E+32 4.9318E+33 1.1158E+34 4.0129E+33
186 1.3625E+34 1.7512E+33 6.7385E+32 6.7489E+33 1.3237E+34 4.7604E+33
187 1.4567E+34 2.7517E+33 1.0575E+33 1.0061E+34 1.6428E+34 5.9077E+33
188 1.4893E+34 3.6187E+33 1.3533E+33 1.2541E+34 1.8524E+34 6.6604E+33
189 1.5058E+34 4.8836E+33 1.7165E+33 1.5470E+34 2.0894E+34 7.5089E+33
190 2.9112E+33 4.9779E+32 7.7840E+31 1.5426E+33 2.5290E+34 8.9347E+33
191 8.8572E+32 8.1857E+30 1.0492E+30 3.7858E+31 2.2455E+33 8.1304E+32
192 1.5175E+33 2.6211E+31 3.9679E+30 1.2894E+32 4.6547E+33 1.6765E+33
193 1.9429E+33 4.7680E+31 8.0235E+30 2.4311E+32 6.8166E+33 2.4506E+33
194 2.3455E+33 8.1822E+31 1.5210E+31 4.2679E+32 9.6131E+33 3.4503E+33
195 2.6044E+33 1.2079E+32 2.3948E+31 6.2986E+32 1.2276E+34 4.3995E+33
196 2.7601E+33 1.6383E+32 3.3638E+31 8.3706E+32 1.4793E+34 5.2935E+33
197 2.8524E+33 2.1605E+32 4.4756E+31 1.0563E+33 1.7419E+34 6.2217E+33
198 2.8927E+33 2.7156E+32 5.5210E+31 1.2451E+33 1.9808E+34 7.0605E+33
199 2.9086E+33 3.4465E+32 6.6346E+31 1.4214E+33 2.2411E+34 7.9654E+33
200 5.2317E+33 6.2609E+33 2.9799E+33 1.3985E+34 2.5325E+34 9.0245E+33
201 2.0105E+33 7.3789E+31 4.7230E+31 4.0873E+32 2.3534E+33 8.4997E+32
202 3.3677E+33 2.7083E+32 1.8918E+32 1.3708E+33 4.7138E+33 1.6886E+33
203 4.1694E+33 5.5937E+32 3.9953E+32 2.5708E+33 7.0496E+33 2.5227E+33
204 4.6279E+33 9.0512E+32 6.4029E+32 3.8051E+33 9.2208E+33 3.2998E+33
205 5.0028E+33 1.5564E+33 1.0515E+33 5.7550E+33 1.2419E+34 4.4455E+33
206 5.1252E+33 2.0683E+33 1.3398E+33 7.0636E+33 1.4456E+34 5.1758E+33
207 5.2089E+33 2.9946E+33 1.7991E+33 9.1108E+33 1.7501E+34 6.2675E+33
208 5.2270E+33 3.7808E+33 2.1425E+33 1.0627E+34 1.9682E+34 7.0487E+33
209 5.2315E+33 4.9626E+33 2.6028E+33 1.2623E+34 2.2561E+34 8.0769E+33
210 2.9235E+35 1.0016E+35 3.4560E+35 2.8836E+35 7.6506E+35 2.7242E+35
211 8.3333E+35 1.9538E+35 4.9280E+34 2.9552E+35 6.8082E+35 2.3648E+35
212 7.1272E+34 2.7059E+32 4.6240E+31 2.4311E+32 6.6865E+34 2.2725E+34
213 1.3404E+35 1.2412E+33 1.9975E+32 8.4946E+32 1.3427E+35 4.6098E+34
214 1.9948E+35 3.0553E+33 5.0275E+32 1.9560E+33 2.0406E+35 7.0484E+34
215 2.6824E+35 5.7976E+33 1.0058E+33 3.7839E+33 2.7140E+35 9.4104E+34
216 6.9020E+34 6.4860E+32 2.1663E+33 3.6093E+33 7.2879E+34 2.6295E+34
217 3.3423E+35 9.1916E+33 1.6973E+33 6.3882E+33 3.2821E+35 1.1409E+35
218 4.3072E+35 1.5507E+34 3.1665E+33 1.2360E+34 3.9803E+35 1.3871E+35
219 5.5472E+35 2.6489E+34 6.2057E+33 2.6451E+34 4.7040E+35 1.6432E+35
220 6.8631E+35 4.4395E+34 1.2101E+34 5.9123E+34 5.3566E+35 1.8749E+35
221 8.0630E+35 8.4082E+34 2.6090E+34 1.5393E+35 6.0515E+35 2.1217E+35
222 1.3226E+35 2.4345E+33 8.8161E+33 1.3125E+34 1.4408E+35 5.1531E+34
223 1.9095E+35 5.8029E+33 2.2750E+34 3.0287E+34 2.2682E+35 8.1009E+34
224 2.2334E+35 9.0673E+33 3.7135E+34 4.6008E+34 2.8464E+35 1.0166E+35
225 2.5992E+35 1.5800E+34 6.7865E+34 7.5945E+34 3.7195E+35 1.3287E+35
226 2.8071E+35 2.4455E+34 1.0719E+35 1.0998E+35 4.5140E+35 1.6131E+35
227 2.9069E+35 3.7049E+34 1.6078E+35 1.5233E+35 5.3331E+35 1.9064E+35
228 2.9231E+35 5.0933E+34 2.1353E+35 1.9187E+35 6.0102E+35 2.1489E+35
229 2.9235E+35 6.9846E+34 2.7543E+35 2.3819E+35 6.7590E+35 2.4167E+35
230 2.8914E+33 1.0386E+34 3.9786E+33 7.2194E+33 2.4502E+34 8.3993E+33
231 4.1662E+35 2.1572E+34 6.6046E+34 8.0363E+34 7.8789E+35 2.8093E+35
232 2.0030E+32 2.0255E+31 8.4893E+30 5.4662E+30 2.4182E+33 7.8882E+32
233 7.8027E+34 1.8612E+32 3.8935E+32 8.7119E+32 7.1444E+34 2.6206E+34
234 1.4801E+35 6.9039E+32 1.5211E+33 3.0839E+33 1.4890E+35 5.4270E+34
235 2.0807E+35 1.4203E+33 3.3500E+33 6.4094E+33 2.2484E+35 8.1746E+34
236 2.5790E+35 2.2990E+33 5.8042E+33 1.0633E+34 2.9518E+35 1.0715E+35
237 3.0557E+35 3.4839E+33 9.5093E+33 1.6675E+34 3.7101E+35 1.3446E+35
238 3.4702E+35 4.9881E+33 1.4822E+34 2.4816E+34 4.4823E+35 1.6217E+35
239 3.8540E+35 7.3191E+33 2.4190E+34 3.7972E+34 5.4145E+35 1.9544E+35
240 4.0513E+35 9.7700E+33 3.4834E+34 5.1404E+34 6.1638E+35 2.2198E+35
241 4.1505E+35 1.3488E+34 4.9740E+34 6.7856E+34 6.9926E+35 2.5101E+35
242 5.5431E+32 1.0783E+32 5.1056E+31 3.9260E+31 4.8179E+33 1.6028E+33
243 1.0674E+33 3.2403E+32 1.6629E+32 1.5439E+32 7.3854E+33 2.4861E+33
244 2.8687E+33 4.9482E+32 1.3742E+33 1.5233E+33 2.5238E+34 8.9225E+33
245 1.5192E+33 6.2063E+32 3.2818E+32 3.4786E+32 9.3901E+33 3.1809E+33
246 8.5769E+32 7.9258E+30 1.7981E+31 3.6246E+31 2.2208E+33 8.0503E+32
247 1.9946E+33 1.1141E+33 5.9243E+32 7.1256E+32 1.1568E+34 3.9392E+33
248 1.4758E+33 2.5396E+31 6.8028E+31 1.2363E+32 4.5926E+33 1.6557E+33
249 2.4768E+33 2.0681E+33 1.0710E+33 1.4721E+33 1.4323E+34 4.9017E+33
250 2.0047E+33 5.3667E+31 1.6426E+32 2.7315E+32 7.3919E+33 2.6586E+33
251 2.7453E+33 3.3366E+33 1.6451E+33 2.4944E+33 1.6835E+34 5.7815E+33
252 2.2950E+33 7.9601E+31 2.6202E+32 4.1171E+32 9.4936E+33 3.4102E+33
253 2.8657E+33 5.1881E+33 2.3854E+33 3.9409E+33 1.9494E+34 6.7137E+33
254 1.9415E+35 1.5127E+34 1.7926E+33 8.3871E+34 8.0203E+35 2.8766E+35
255 2.5543E+33 1.1771E+32 4.1362E+32 6.0954E+32 1.2132E+34 4.3515E+33
256 4.5074E+34 1.7803E+32 1.7041E+31 1.6069E+33 7.5291E+34 2.8087E+34
257 2.8889E+33 7.1609E+33 3.0880E+33 5.4076E+33 2.1688E+34 7.4815E+33
258 2.7119E+33 1.5985E+32 5.8243E+32 8.1240E+32 1.4628E+34 5.2389E+33
259 8.2980E+34 6.1962E+32 6.3229E+31 5.5267E+33 1.5320E+35 5.6238E+34
