Ct OIII SII NII OII Ha Hb
106 3.8655E+33 4.4126E+32 2.0692E+32 5.4793E+33 3.4540E+34 1.2618E+34
107 3.9966E+33 8.2412E+32 3.5352E+32 7.7725E+33 4.7186E+34 1.7207E+34
108 8.7613E+33 9.6691E+33 8.8660E+33 3.8597E+34 1.0773E+35 3.9034E+34
109 3.9987E+33 1.1824E+33 4.7634E+32 9.4179E+33 5.6589E+34 2.0616E+34
110 3.9987E+33 1.7089E+33 6.3508E+32 1.1488E+34 6.9179E+34 2.5174E+34
111 3.9987E+33 2.2751E+33 7.8404E+32 1.3383E+34 8.1560E+34 2.9646E+34
112 3.9987E+33 2.8748E+33 9.2196E+32 1.5080E+34 9.3759E+34 3.4039E+34
113 3.9987E+33 3.5615E+33 1.0553E+33 1.6616E+34 1.0694E+35 3.8753E+34
114 1.2926E+34 2.4278E+34 1.9664E+34 6.1895E+34 1.1735E+35 4.2210E+34
115 1.2564E+34 2.3701E+33 3.2999E+33 1.5772E+34 3.8580E+34 1.3929E+34
116 1.2925E+34 4.4599E+33 5.6947E+33 2.2787E+34 5.1976E+34 1.8751E+34
117 1.2926E+34 6.3224E+33 7.5885E+33 2.7822E+34 6.1841E+34 2.2300E+34
118 1.2926E+34 8.5641E+33 9.6320E+33 3.3352E+34 7.2174E+34 2.6019E+34
119 1.2926E+34 1.2540E+34 1.2825E+34 4.2300E+34 8.7422E+34 3.1510E+34
120 1.2926E+34 1.5895E+34 1.5190E+34 4.9223E+34 9.7925E+34 3.5294E+34
121 1.2926E+34 2.0629E+34 1.8053E+34 5.7830E+34 1.0995E+35 3.9618E+34
122 1.4088E+33 1.3226E+33 1.1638E+34 5.8051E+33 1.1609E+35 4.1933E+34
123 1.3598E+33 1.4331E+32 2.1437E+33 1.8878E+33 3.3783E+34 1.2343E+34
124 1.4077E+33 2.6742E+32 3.6550E+33 2.6635E+33 4.6482E+34 1.6950E+34
125 5.4748E+33 8.5977E+33 2.0143E+35 1.0341E+34 1.2096E+35 4.2849E+34
126 1.4088E+33 3.8364E+32 4.9192E+33 3.2123E+33 5.5842E+34 2.0343E+34
127 1.4088E+33 5.4010E+32 6.4267E+33 3.8455E+33 6.7432E+34 2.4538E+34
128 5.3880E+33 9.3752E+32 4.0123E+34 3.6804E+33 3.8225E+34 1.3627E+34
129 1.4088E+33 7.3094E+32 8.0344E+33 4.5029E+33 8.0433E+34 2.9233E+34
130 5.4736E+33 1.5631E+33 6.1374E+34 4.5185E+33 5.2221E+34 1.8571E+34
131 5.4748E+33 2.2733E+33 8.2132E+34 5.2240E+33 6.5884E+34 2.3390E+34
132 1.4088E+33 9.2981E+32 9.4919E+33 5.0771E+33 9.3063E+34 3.3779E+34
133 5.4748E+33 2.9150E+33 9.8869E+34 5.8114E+33 7.6357E+34 2.7086E+34
134 5.4748E+33 4.0135E+33 1.2453E+35 6.7722E+33 9.0940E+34 3.2239E+34
135 1.4088E+33 1.1704E+33 1.0968E+34 5.6177E+33 1.0752E+35 3.8947E+34
136 5.4748E+33 5.1997E+33 1.4908E+35 7.7916E+33 1.0287E+35 3.6463E+34
137 5.4748E+33 6.9516E+33 1.8022E+35 9.2929E+33 1.1475E+35 4.0679E+34
138 1.1990E+34 4.1932E+34 9.9781E+33 6.2476E+34 1.1991E+35 4.2689E+34
139 1.1705E+34 3.7772E+33 1.5721E+33 1.3327E+34 4.1506E+34 1.4785E+34
140 1.1989E+34 7.0177E+33 2.6928E+33 1.9467E+34 5.4920E+34 1.9557E+34
141 1.1990E+34 9.4695E+33 3.4513E+33 2.3326E+34 6.3536E+34 2.2621E+34
142 1.1990E+34 1.4480E+34 4.8221E+33 3.0557E+34 7.8270E+34 2.7865E+34
143 1.1990E+34 1.8986E+34 5.9143E+33 3.6648E+34 8.9042E+34 3.1703E+34
144 1.1990E+34 2.5406E+34 7.3031E+33 4.4976E+34 1.0127E+35 3.6065E+34
